name,info
솔뫼 스터디원룸,"
소재지 경상북도 안동시 송천동 916-1 
전화문의 010-2599-1816 
층수 3
방 수 13개
난방 개별난방

"
솔뫼 원더랜드 후크,"
소재지 경북 안동시 송천동 676-4 
전화문의 010-2636-6403 
준공연도 0000
층수 3
난방 개별난방
주차여부 유

"
솔뫼 큐브885,"
소재지 경상북도 안동시 송천2길 72-27 
전화문의 010-8853-0455 
층수 4
난방 개별난방
주차여부 유

"
논골 한누리원룸 1차 C동,"논골계단 도보1분! 풀옵션 원룸. 층별 CCTV, 출입문 전자도어 완비!
소재지 경북 안동시 논골길 71-3 1차 C동
전화문의 010-2513-5030 
층수 3
방 수 16개
난방 개별난방
주차여부 유

"
논골 추억원룸,"
소재지 경상북도 안동시 송천동 468 
전화문의 010-4442-1247 
층수 3
방 수 10개
난방 개별난방

"
논골 논골 송일원룸B,"안동대쓰리룸 안동대투룸 송일 투룸 최고급형
소재지 경북 안동시 논골길 97 
전화문의 010-8853-0455 
준공연도 0000
층수 3
난방 개별난방
주차여부 유

"
솔뫼 원더랜드 피터팬원룸 ,"남한의  풀옵션
소재지 경북 안동시 송천3길 54-21 
전화문의 010-2636-6403  
준공연도 2015. 5
층수 3
방 수 18개
난방 개별난방
주차여부 유

"
솔뫼 한아름,"
소재지 경북 안동시 송천1길 55 
전화문의 010-4522-1372 
층수 3
방 수 18개
난방 개별난방
주차여부 유

"
솔뫼 프렌즈원룸,"
소재지 경북 안동시 송천1길 72 
전화문의 010-3249-5946 
준공연도 0000
층수 4
난방 개별난방
주차여부 유
엘레베이터 유

"
논골 드림빌,"
소재지 경북 안동시 논골길 71-4 
전화문의 010-9585-8156 
준공연도 0000
층수 3
난방 개별난방
주차여부 유
엘레베이터 유

"
솔뫼 양지원룸,"
소재지 경북 안동시 석동길 1 
전화문의 010-3547-0363 
층수 3
난방 개별난방

"
솔뫼 totoro 하우스,"
소재지 경상북도 안동시 송천동 910-4 
전화문의 010-5460-4671 
준공연도 0000
층수 2
난방 개별난방
주차여부 유

"
솔뫼 송강원룸,"
소재지 경북 안동시 송천2길 25 
전화문의 010-8587-3086 
준공연도 0000
층수 3
난방 개별난방
주차여부 유

"
솔뫼 명륜빌,"최신/풀옵션/임대문의
소재지 경상북도 안동시 송천3길 78 
전화문의 010-2375-4279 
층수 3
난방 개별난방

"
논골 A+ 원룸,"
소재지 경상북도 안동시 송천동 481 
전화문의 010-4442-1247 
층수 3
방 수 10개
난방 개별난방

"
솔뫼 프랑스원룸,"신축, 풀옵션
소재지 경북 안동시 송천동 898-6 프랑스원룸
전화문의 010-7337-7001 , 010-6658-0101
층수 3
방 수 17개
난방 개별난방
주차여부 유

"
논골 베이스캠프,"안동대학교 바로 아래 위치(논골)
소재지 경북 안동시 논골길 49-5 
전화문의 010-2590-3604 
준공연도 0000
층수 1
난방 개별난방

"
솔뫼 비타민원룸,"
소재지 경북 안동시 송천1길 93-2 
전화문의 010-6560-1351 , 010-2830-5860
준공연도 0000
층수 3
방 수 15개
난방 개별난방
주차여부 유

"
솔뫼 해피하우스,"
소재지 경북 안동시 송천2길 72-6 
전화문의  010-8569-2430 
준공연도 0000
층수 3
난방 개별난방

"
솔뫼 청학동원룸,"
소재지 경북 안동시 송천2길 70 
전화문의 010-8566-6274 
층수 2
난방 개별난방

"
솔뫼 AM 7원룸,"
소재지 경상북도 안동시 송천동 859-6 
전화문의 010-9599-4148 
준공연도 0000
층수 3
난방 개별난방
주차여부 유

"
솔뫼 히트원룸,"
소재지 경북 안동시 송천1길 146-13 
전화문의 010-9461-7377 , 010-6650-0877
층수 4
방 수 15개
난방 개별난방
주차여부 유

"
솔뫼 명륜당원룸,"최고의 원룸
소재지 경북 안동시 송천2길 73-10 
전화문의 010-2375-4279 , 010-3702-7876
층수 4
방 수 16개
난방 개별난방
주차여부 유

"
솔뫼 비타민A동 ,"도시가스(개별난방)
소재지 경북 안동시 송천1길 93 비타민A
전화문의 010-3520-0998 
난방 개별난방

"
솔뫼 거성원룸,"
소재지 경북 안동시 송천2길 72-16 
전화문의 010-8595-6335 , 010-8867-5670
층수 3
난방 개별난방

"
솔뫼 햇살마루,"
소재지 경상북도 안동시 송천동 896-4 
전화문의 010-9490-3030 
준공연도 0000
층수 3
난방 개별난방
주차여부 유

"
논골 한마음원룸,"가성비 최고! 조용하고 혼자 거주 가능한 편한 방
소재지 경북 안동시 논골길 79 
전화문의 010-8780-2716 
층수 3
방 수 20개
난방 개별난방
주차여부 유

"
논골 E-LIFE,"
소재지 경북 안동시 논골길 29 
전화문의 010-4518-0274 
층수 3
난방 개별난방

"
솔뫼 봄날원룸,"
소재지 송천2길 73-13 
전화문의 010-5641-3387 
준공연도 0000
층수 4
난방 개별난방
주차여부 유
엘레베이터 유

"
솔뫼 악어원룸,"♡악어원룸♡ ♡내집같이 마음이 편안한 악어원룸♡
소재지 경북 안동시 송천1길 43-38 악어원룸
전화문의 010-4817-5577 , 010-9547-0322
준공연도 0000
층수 3
방 수 13개
난방 개별난방
주차여부 유

"
솔뫼 반석,"
소재지 경북 안동시 송천1길 151 
전화문의 054-823-2723 
준공연도 0000
층수 3
난방 개별난방

"
솔뫼 옐로우 ,"공부하기 좋아요
소재지 경북 안동시 송천1길 43-33 옐로우 
전화문의 01093790108 , 0548229395
난방 개별난방
주차여부 유

"
논골 한누리1차 B동,"깨끗한 풀옵션 관리비없음
소재지 경북 안동시 송천동 493-3 한누리1차 B동
전화문의 010-5551-2197  , 010-9640-5333 
대지/건물 257m²/123.24m²
준공연도 2013
층수 3
방 수 16개
난방 개별난방
주차여부 유

"
솔뫼 피카소원룸,"
소재지 경북 안동시 송천1길 30 피카소원룸
전화문의 010-6607-1953 
층수 3
난방 개별난방
주차여부 유

"
솔뫼 그리스원룸,"햇빛 좋고 조용하고 공부 잘 되는 원룸
소재지 경북 안동시 송천1길 125 
전화문의 010-3446-3564 
층수 3
난방 개별난방

"
